Hebrew (Nikkud),Transliteration,Part of Speech,Translation,Era,Notes
־ְךָ,-'khá,pronoun,"you, thee: indicates the direct object of a verb",,archaic
־ְךָ,-'khá,pronoun,"you, thee: indicates the object of a preposition",,
־ְךָ,-'khá,pronoun,your: indicates the possessor of a singular construct noun,,
־ֵךְ,-'ékh,pronoun,"you, thee: indicates the direct object of a verb",,archaic
־ֵךְ,-'ékh,pronoun,"you, thee: indicates the object of a preposition",,
־ֵךְ,-'ékh,pronoun,your: indicates the possessor of a singular construct noun,,
־ָה,-a,postposition,"at, located in the direction of",,colloquial
־ָה,-a,postposition,"to, toward, in the direction of, -ward",Biblical,
־ָהּ,-áh,pronoun,"her, it: indicates the direct object of a verb",,Gen 2:15; archaic
־ָהּ,-áh,pronoun,"her, it: indicates the object of a preposition",,Ruth 1:22
־ָהּ,-áh,pronoun,"her, its: indicates the possessor of a singular construct noun",,2 Sam 13:19
־וֹ,-ó,pronoun,"him, it: indicates the object of a preposition",,
־וֹ,-ó,pronoun,"his, its: indicates the possessor of a singular construct noun",,
־ם,-m,pronoun,Indicates the direct object of a verb: them.,Biblical,
־ם,-m,pronoun,Indicates the object of a preposition: them.,,
־ם,-m,pronoun,Indicates the possessor of a noun in the construct state: them.,Biblical,
א.ג.נ.,a.g.n.,noun,dear sir or madam: used as a greeting in a formal letter,,
אֱגוֹז,egóz,noun,nut (hard-shelled seed),,
אֱגוֹז,egóz,noun,walnut,Biblical,
אֱגוֹז אֲדָמָה,egóz adamá,noun,peanut,,
אֱגוֹז מֶלֶךְ,egóz mélekh,noun,walnut,,
אֱדוֹם,edóm,proper noun,"Christendom, the Christians",,Medieval
אֱדוֹם,edóm,proper noun,Edom (name given to Esau),,Medieval
אֱדוֹם,edóm,proper noun,Edom (region),,Medieval
אֱדוֹם,edóm,proper noun,Edom (the nation of the Edomites),,Medieval
אֱוִיל,evíl,noun,"fool, stupid person",Biblical,
אֱיָל,eyál,noun,"power, strength",,
אֱיָל,eyál,proper noun,"a male given name, Eyal",,
אֱלִי,elí,verb,Wail: feminine singular imperative.,Biblical,
אֱלִיעֶזֶר,Eli'ézer,proper noun,Eliezer (Biblical figures),,
אֱלִיעֶזֶר,Eli'ézer,proper noun,"a male given name, equivalent to English Eliezer",,
אֱלִיעָנָה,Eli'ana,proper noun,a female given name,,
אֱלִישֶׁבַע,elishéva,proper noun,"Elisheba (the wife of Aaron, mentioned in Exodus 6:23)",,
אֱלִישֶׁבַע,elishéva,proper noun,"a female given name, Elisheba or Elisheva",,
אֱלֹהִים,elohím,noun,a god,,
אֱלֹהִים,elohím,noun,"a godlike figure, someone with godlike power or authority (like rulers or judges)",Biblical,rare
אֱלֹהִים,elohím,proper noun,God,Biblical,
אֱלֹקִים,elokím,proper noun,G-d: deliberate misspelling of אלוהים,,Judaism
אֱלוֹהִי,elohí,adjective,"godly, godlike, divine",,
אֱלוֹהַּ,elóah,noun,God,,
אֱלוֹהַּ,elóah,noun,a god,Biblical,
אֱלוֹהוּת,elohút,noun,deity (essential nature of a god),,
אֱלוֹהוּת,elohút,noun,divinity,,
אֱלוּל,'elúl,proper noun,"Elul (the twelfth month of the civil year and the sixth month of the ecclesiastical year in the Jewish calendar, after Av and before Tishrei)",Biblical,Judaism
אֱמֶת,emet,noun,truth,Both,
