key,en,he,context,notes
contact.donate.open_paypal,Open PayPal →,,donation button,
contact.donate.open_venmo,Open Venmo →,,donation button,
contact.donate.tab_paypal,PayPal,,donation tab,
contact.donate.tab_venmo,Venmo,,donation tab,
contact.donate.tab_zelle,Zelle,,donation tab,
contact.donate.zelle_qr_alt,Zelle QR code for donating to IvritSuite,,image alt,aria/alt
contact.donate.zelle_scan_note,Scan with your bank's Zelle feature,,zelle panel caption,
contact.form.captcha_required,Please complete the “I’m human” check below before sending.,,form status,
contact.form.email_fallback,Prefer your own email app? Write to {email}.,,below form,template; html
contact.form.email_label,Your email,,form label,
contact.form.error_email_suffix,You can also email {email}.,,form status suffix,template; html
contact.form.error_fallback,Sorry — that didn’t go through.,,form status fallback,
contact.form.error_network,Sorry — that didn’t go through. Please email {email} directly.,,form status,template; html
contact.form.message_label,Message,,form label,
contact.form.name_label,Your name,,form label,
contact.form.sending,Sending…,,form status,
contact.form.subject_label,Subject,,form label,
contact.form.subject_optional,(optional),,form label hint,
contact.form.submit_button,Send message,,submit button,
contact.form.success,Message sent ✓ — thank you! I’ll get back to you soon.,,form status,
contact.getintouch_heading,Get in touch,,tile heading,
contact.getintouch_intro,Send a message below and it will go straight to my inbox. Please include your email so I can write back.,,tile intro,
contact.header.back_link,← Back,,header back button,leading-arrow
contact.header.tagline,Get in touch · Support the project,,header subtitle,
contact.header.title,IvritSuite — Contact & Support,,header h1,
contact.lede,"Have a question, found a bug, or have an idea for a new feature? I'd love to hear from you.",,page lede,
contact.page_title,Contact & Support,,page title,
contact.support_body,"IvritSuite is free, and it always will be — no accounts, no ads, no paywalls. If these tools have been useful in your classroom or learning, a small donation helps cover the development and upkeep that keep them running and growing. It's entirely optional, and deeply appreciated. Thank you.",,tile body,
contact.support_heading,Support IvritSuite,,tile heading,
dashboard.about.faq_a1,"It displays the live Hebrew date, time, weather, and days of the week for use on classroom SmartBoards or projectors during morning routine and Hebrew instruction.",,FAQ answer,
dashboard.about.faq_a2,"Yes. The dashboard is designed for SmartBoards, projectors, and large displays. A built-in fullscreen mode and zoom control let you size content for any classroom screen.",,FAQ answer,
dashboard.about.faq_a3,Yes. The dashboard is free to use under CC BY-NC-SA 4.0 for non-commercial educational purposes.,,FAQ answer,
dashboard.about.faq_a4,Yes. The Hebrew (Jewish) date and the corresponding Gregorian date are shown live and update automatically each day.,,FAQ answer,
dashboard.about.faq_a5,"Click ❓ Tour in the top bar for a quick walkthrough. First-time teachers also get a setup card. To switch layouts, open Settings → Presets and tap a Quick-start layout — Hebrew classroom, Morning routine, or a General classroom layout for non-Judaics rooms — then tweak it and Save your own preset.",,FAQ answer,
dashboard.about.faq_a6,Yes. Settings → Schedule Sync lets you assign a preset and an end time to each period; the board reconfigures itself through the day and shows a live Now / Next display and a countdown.,,FAQ answer,
dashboard.about.faq_a7,"Fullscreen keeps the screen awake automatically. Otherwise turn on Keep screen awake in Settings → Display Options, where the browser supports it.",,FAQ answer,
dashboard.about.faq_q1,What is the Hebrew classroom dashboard for?,,FAQ question,
dashboard.about.faq_q2,Does it work on SmartBoards?,,FAQ question,
dashboard.about.faq_q3,Is the dashboard free?,,FAQ question,
dashboard.about.faq_q4,Can I project the Hebrew date?,,FAQ question,
dashboard.about.faq_q5,"Is there a guided tour, and how do I switch layouts?",,FAQ question,
dashboard.about.faq_q6,Can the dashboard switch between periods by itself?,,FAQ question,
dashboard.about.faq_q7,How do I keep the display from going to sleep?,,FAQ question,
dashboard.about.faq_summary,Frequently Asked Questions,,FAQ section summary,
dashboard.about.howto_1,Set your location for accurate weather and Hebrew date.,,how-to step,
dashboard.about.howto_2,Pick which panels to show in Display Options.,,how-to step,
dashboard.about.howto_3,Customize the Hebrew font and nikkud display.,,how-to step,
dashboard.about.howto_4,Use the fullscreen button to project to your SmartBoard.,,how-to step,
dashboard.about.howto_5,Save your setup as a preset — or start from a Quick-start layout in the Presets panel.,,how-to step,
dashboard.about.howto_6,"In fullscreen, move the mouse to reveal quick controls (settings, timer, text, video).",,how-to step,
dashboard.about.howto_7,Click the ✎ on the dashboard message to edit it right on the board.,,how-to step,
dashboard.about.howto_summary,How To Use,,how-to section summary,
dashboard.backup.err_invalid_json,Invalid JSON.,,Manual-backup import error alert,alert
dashboard.backup.placeholder,"Paste backup JSON here, or click Export…",,Manual-backup textarea placeholder,placeholder
dashboard.color.color_code_nikkud,Color-code nikkud,,settings label,
dashboard.color.color_style,Color style,,settings label,
dashboard.color.mode_color,Color,,radio option,
dashboard.color.mode_highlight,Highlight,,radio option,
dashboard.color.mode_underline,Underline,,radio option,
dashboard.color.reset,Reset,,vowel scheme reset button,
dashboard.color.reset_confirm,Are you sure? This resets your custom vowel colors for both the Default and TaL AM schemes.,,confirm dialog,
dashboard.color.scheme_default,Default,,vowel scheme button,
dashboard.color.scheme_talam,TaL AM,,vowel scheme button,
dashboard.color.show_nikkud,Show nikkud,,settings label,
dashboard.color.tts_fast,Fast,,TTS slider scale label,
dashboard.color.tts_slow,Slow,,TTS slider label,
dashboard.color.tts_slower,Slower,,TTS slider scale label,
dashboard.color.tts_speed_label,Hebrew TTS Reading Speed,,settings label,
dashboard.common.beta_badge,BETA,,inline feature badge (repeated),
dashboard.common.opt_both,Both,,radio option,
dashboard.common.opt_english,English,,radio option (display language),
dashboard.common.opt_none,None,,radio option (no headers),
dashboard.common.restore_default,Restore default,,size-reset button title (repeated),
dashboard.datetime.date_format,Date format,,settings label,
dashboard.datetime.eng_date_size,Eng Date size,,size slider label,
dashboard.datetime.fmt_12,12-hr,,radio option,
dashboard.datetime.fmt_24,24-hr,,radio option,
dashboard.datetime.fmt_dmy,DD/MM/YYYY,,radio option,
dashboard.datetime.fmt_long,Long,,radio option,
dashboard.datetime.fmt_mdy,MM/DD/YYYY,,radio option,
dashboard.datetime.heb_date_size,Heb Date size,,size slider label,
